icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e48757,1753490153,SBRJ,1753495887,SBBR,PRXLS   ,4023.0,674.0,707,82,1,2
e494b3,1753476232,,1753495220,SBBR,AZU4302 ,,,1200,90,0,2
e49baf,1753479704,,1753494928,SBBR,GLO1779 ,,,806,90,0,2
e49180,1753487824,SBSP,1753492605,SBBR,TAM4546 ,1019.0,9.0,751,82,1,2
e47e7c,1753487236,,1753492288,SBBR,GLO1765 ,,,1207,52,0,2
e48ce7,1753485307,SBSP,1753489918,SBBR,TAM3018 ,43.0,62.0,2002,67,1,2
e49eee,1753485088,SBSP,1753489504,SBBR,GLO1464 ,85.0,62.0,2193,67,1,2
e49ed4,1753483804,SBSP,1753488599,SBBR,TAM3012 ,40.0,62.0,2159,67,1,2
e49528,1753483130,SBGL,1753488405,SBBR,GLO2075 ,2408.0,54.0,2159,67,1,2
e49d24,1753483006,SBSP,1753487622,SBBR,AZU6008 ,113.0,70.0,2206,60,1,2
e48273,1753481718,SBSP,1753486207,SBBR,TAM4736 ,1009.0,32.0,2639,37,1,2
e495fb,1753474593,,1753485851,SBBR,GLO1705 ,,,2598,37,0,2
e47fa6,1753481793,,1753485720,SBBR,TAM3761 ,,,830,60,0,2
e491c3,1753476010,SBFZ,1753484902,SBBR,GLO1771 ,501.0,5.0,1536,21,1,2
e486c1,1753480358,,1753484803,SBBR,TAM4581 ,,,2584,44,0,2
e480fa,1753478884,SBFL,1753484587,SBBR,TAM4585 ,9886.0,1000.0,2514,44,0,2
e495cd,1753475520,,1753484431,SBBR,GLO1791 ,,,1282,37,0,2
