icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
e490c2,TAM3195 ,Brazil,1786574198,1786574198,-44.132,-10.2573,10972.8,False,240.45,184.42,0.0,,11673.84,,False,0
e490c3,TAM3216 ,Brazil,1786574222,1786574223,-48.9551,-23.4559,10980.42,False,196.79,267.0,0.0,,11605.26,,False,0
aa9d48,CMB593  ,United States,1786574217,1786574221,-57.7706,-15.5023,11887.2,False,254.76,136.8,0.0,,12633.96,,False,0
e4910c,AZU6059 ,Brazil,1786574223,1786574223,-43.0048,-22.9224,2286.0,False,118.84,179.5,12.68,,2430.78,3771,False,0
4007f4,BAW248  ,United Kingdom,1786574224,1786574224,-39.2027,-1.7141,10668.0,False,243.5,6.79,0.0,,11369.04,,False,0
4950e4,AZU8750 ,Portugal,1786574054,1786574054,-44.484,-20.6788,10637.52,False,266.96,35.59,3.9,,11277.6,,False,0
e4988b,GLO1239 ,Brazil,1786574223,1786574223,-49.315,-26.2447,11887.2,False,257.23,29.08,-0.33,,12473.94,,False,0
e4988e,GLO1173 ,Brazil,1786574223,1786574223,-47.6435,-23.6003,8001.0,False,200.44,44.48,-5.53,,8481.06,,False,0
e49866,AZU4036 ,Brazil,1786574213,1786574213,-38.5375,-3.7784,,True,0.0,286.88,,,,,False,0
e48519,TAM3941 ,Brazil,1786574221,1786574221,-46.6553,-23.6298,,True,0.0,329.06,,,,,False,0
e49830,AZU4345 ,Brazil,1786574219,1786574221,-44.8177,-19.5422,10972.8,False,226.04,210.65,0.0,,11650.98,,False,0
e483da,PRBJM   ,Brazil,1786574223,1786574223,-48.625,-21.8823,8900.16,False,192.39,144.91,-9.43,,9464.04,,False,0
e49779,PSRJJ   ,Brazil,1786574223,1786574223,-39.8395,-5.3376,8534.4,False,134.19,168.95,0.0,,9052.56,,False,0
e495d0,AZU4820 ,Brazil,1786574223,1786574223,-46.035,-22.0938,8252.46,False,196.83,216.39,-9.75,,8778.24,,False,0
e495b2,AZU4816 ,Brazil,1786574032,1786574039,-44.9337,-9.7567,11582.4,False,244.79,183.37,0.0,,12321.54,,False,0
e482c5,TAM3316 ,Brazil,1786574132,1786574132,-44.3909,-19.7638,10668.0,False,243.24,19.39,0.0,,11308.08,,False,0
e4966d,AZU2903 ,Brazil,1786574223,1786574223,-46.2994,-23.4344,7985.76,False,195.28,253.0,-6.5,,8442.96,,False,0
e494bb,GLO1725 ,Brazil,1786574223,1786574223,-47.2167,-21.6392,9220.2,False,222.37,352.96,5.2,,9761.22,,False,0
e48273,TAM3064 ,Brazil,1786574222,1786574222,-46.6313,-23.6701,1089.66,False,109.79,171.38,3.25,,1165.86,,False,0
e48274,TAM4591 ,Brazil,1786574223,1786574223,-46.6048,-23.27,2423.16,False,90.32,236.85,-2.6,,2583.18,,False,0
e49527,GLO2173 ,Brazil,1786574223,1786574223,-43.3367,-22.764,457.2,False,79.96,125.84,-4.23,,510.54,,False,0
e4950e,GLO2185 ,Brazil,1786574144,1786574144,-44.0341,-23.7679,7947.66,False,179.4,12.08,-7.48,,8503.92,,False,0
a5bb52,PSCSR   ,United States,1786574223,1786574224,-48.0163,-22.4453,5791.2,False,123.97,161.11,0.0,,6118.86,,False,0
e4950d,GLO1143 ,Brazil,1786574194,1786574195,-48.606,-27.2926,3291.84,False,169.82,1.39,9.43,,3451.86,,False,0
e4956e,GLO2181 ,Brazil,1786574196,1786574196,-42.2788,-21.9625,7315.2,False,229.4,209.27,0.0,,7749.54,,False,0
e4956f,GLO7655 ,Brazil,1786574220,1786574220,-43.6143,-22.4676,2377.44,False,122.86,153.11,-5.2,,2529.84,,False,0
e480a2,LA4603  ,Brazil,1786574221,1786574221,-46.1862,-22.2847,6979.92,False,181.71,216.48,-10.73,,7421.88,,False,0
e493b9,AZU4577 ,Brazil,1786574216,1786574218,-45.5767,-13.4518,11590.02,False,239.46,166.71,0.0,,12321.54,,False,0
e48135,TAM3090 ,Brazil,1786574044,1786574044,-47.7877,-24.5524,8526.78,False,194.62,225.32,0.0,,9029.7,,False,0
e49475,GLO1487 ,Brazil,1786574222,1786574222,-45.0334,-20.6925,8534.4,False,202.04,213.89,0.0,,9075.42,,False,0
e4818a,TAM8120 ,Brazil,1786574224,1786574224,-42.8514,-15.366,9448.8,False,260.02,14.2,0.0,,10066.02,,False,0
e4818b,TAM8146 ,Brazil,1786574224,1786574224,-45.3422,-21.9911,8892.54,False,273.25,34.26,6.83,,9433.56,,False,0
e4949a,TAM3587 ,Brazil,1786574098,1786574098,-39.6665,-8.2881,11887.2,False,222.44,7.17,0.0,,12641.58,,False,0
e48189,TAM8073 ,Brazil,1786574223,1786574224,-46.6699,-23.3654,1798.32,False,95.33,212.66,-3.25,,1912.62,,False,0
0c21fb,CMP821  ,Panama,1786574223,1786574223,-69.4402,-3.3742,10668.0,False,247.45,142.77,-0.33,,11399.52,,False,0
e47f70,GLO1810 ,Brazil,1786574149,1786574158,-43.1638,-22.9379,106.68,False,67.08,20.66,-2.93,,152.4,,False,0
e47f50,GLO9603 ,Brazil,1786573992,1786574003,-44.3288,-12.0788,11277.6,False,233.57,10.79,0.0,,11978.64,,False,0
e4bc02,TAM3818 ,Brazil,1786574221,1786574222,-49.1089,-26.3373,9669.78,False,246.72,163.15,-13.33,,10187.94,,False,0
a3376c,UPS410  ,United States,1786573998,1786573998,-47.1844,-22.9716,876.3,False,82.84,127.94,-4.23,,929.64,,False,0
ad6b16,AVA217  ,United States,1786574224,1786574224,-70.2441,-2.3588,10058.4,False,242.34,147.66,0.33,,10767.06,,False,0
a05434,FDX5501 ,United States,1786574210,1786574210,-60.8013,-32.8534,11277.6,False,253.3,161.53,0.0,,11574.78,,False,0
0c20f3,CMP725  ,Panama,1786574223,1786574223,-70.7031,-2.2425,10668.0,False,241.12,128.07,0.0,,11391.9,,False,0
0c2070,CMP882  ,Panama,1786574212,1786574212,-72.5517,-3.2631,10668.0,False,246.0,152.2,0.0,,11399.52,,False,0
e94c84,BOV739  ,Bolivia,1786574222,1786574223,-48.708,-22.9432,10972.8,False,206.93,288.71,-0.33,,11597.64,,False,0
e94c88,BOV777  ,Bolivia,1786574223,1786574223,-58.5216,-13.8656,11582.4,False,233.85,229.37,0.0,,12359.64,,False,0
